Algorithm	recommender	attack	iteration	eps	size	best	EFD_Top10	EPC_Top10	Gini_Top10	ICov_Top10	Prec_Top10	Recall_Top10	SE_Top10	UCov	nDCG_Top10
pgd10_ep2.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	10	2	full	0	0.034387710954354	0.002277355196665	0.014530498431509	611	0.00385761589404	0.038576158940397	5.86692129139873	6040	0.018162697525742
pgd180_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	180	0.5	full	0	0.027352805588972	0.001926379889921	0.012190864323315	420.999999999999	0.00296357615894	0.029635761589404	5.87459108735304	6040	0.014130163729955
bim430_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	430	0.5	full	0	0.000593787011718	4.73824899255669E-05	0.033667980445255	820	6.62251655629139E-05	0.000662251655629	7.14563042044156	6040	0.000226069230794
pgd250_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	250	1	full	0	0.00015829196077	1.25242618637264E-05	0.039583639434807	989	1.65562913907285E-05	0.000165562913907	7.26700735539027	6040	5.89746998523215E-05
pgd460_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	460	1	full	0	0.000257461494587	2.13803766073241E-05	0.056058941291078	1208	1.65562913907285E-05	0.000165562913907	7.86064145099879	6040	0.000104458568472
bim140_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	140	1	full	0	0.00286054039081	0.000234128956472	0.018255284160478	549	0.000264900662252	0.002649006622517	6.44042640763287	6040	0.001131277623233
pgd5_ep3.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	5	3	full	0	0.039614337443147	0.002666125952302	0.016806981794782	737.999999999999	0.004221854304636	0.042218543046358	5.980086220182	6040	0.020738294449099
bim460_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	460	1	full	0	0.000907230868943	7.22231585865763E-05	0.064628531338535	1252	4.96688741721854E-05	0.000496688741722	8.07725555837276	6040	0.000341325548286
bim460_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	460	0.5	full	0	0.000713696160526	4.10119534536364E-05	0.042870579403169	1034	4.96688741721854E-05	0.000496688741722	7.46923405536565	6040	0.000190198379159
pgd370_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	370	0.5	full	0	0.001872801436791	0.000146238111535	0.026364622713176	687	0.000149006622517	0.001490066225166	6.80906995520086	6040	0.000685821899172
bim40_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	40	1	full	0	0.030814939892295	0.002036476166473	0.011889249358751	486	0.003493377483444	0.034933774834437	5.73921572470285	6040	0.01628754335983
